,n_items,n_questions,n_dims_model,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,n_dims_gt,run
411,75,100,21,0.47081454199616785,80,0.005885181774952098,14329037.83425642,20,716451.891712821,10,1
412,75,100,21,2.4345704317071704,80,0.03043213039633963,3896907.1473438716,20,194845.3573671936,10,2
413,75,100,21,2.455701431109136,80,0.030696267888864197,258237.49802898563,20,12911.874901449282,10,3
414,75,100,21,0.8107058096282409,80,0.010133822620353011,12730127.280437266,20,636506.3640218633,10,4
415,75,100,21,0.905505685042706,80,0.011318821063033824,1490724.056174104,20,74536.2028087052,10,5
416,75,100,21,0.8550631384166771,80,0.010688289230208464,607050.446472898,20,30352.522323644902,10,6
417,75,100,21,0.9468625015551719,80,0.01183578126943965,871940.7502581539,20,43597.03751290769,10,7
418,75,100,21,0.6163212260506424,80,0.007704015325633031,3405752.418483453,20,170287.62092417263,10,8
419,75,100,21,1.916002066039448,80,0.023950025825493097,61603665.133190826,20,3080183.2566595413,10,9
420,75,200,2,2255.5625846293055,160,14.097266153933159,6252.592508452846,40,156.31481271132117,10,0
421,75,200,2,2460.069853983402,160,15.375436587396262,8662.096564506137,40,216.55241411265342,10,1
422,75,200,2,2435.820587276754,160,15.223878670479712,6422.633836376555,40,160.5658459094139,10,2
423,75,200,2,2426.0082127975284,160,15.162551329984552,30161.27428039321,40,754.0318570098302,10,3
424,75,200,2,2514.6372521172816,160,15.71648282573301,7244.889039092003,40,181.12222597730008,10,4
425,75,200,2,2445.266858273148,160,15.282917864207175,21189.146917171907,40,529.7286729292977,10,5
426,75,200,2,2441.946443266232,160,15.26216527041395,11268.774346506416,40,281.7193586626604,10,6
427,75,200,2,2514.4802401015822,160,15.71550150063489,16300.787099422487,40,407.51967748556217,10,7
428,75,200,2,2595.8528573519475,160,16.224080358449672,13984.161909324,40,349.6040477331,10,8
429,75,200,2,2078.085604128838,160,12.988035025805237,6186.594117400297,40,154.66485293500745,10,9
430,75,200,3,1165.2394954390663,160,7.282746846494165,11124.551120614486,40,278.11377801536213,10,0
431,75,200,3,901.6175631360164,160,5.635109769600103,5863.019966790154,40,146.57549916975387,10,1
432,75,200,3,847.7588324364774,160,5.298492702727984,7050.802214141055,40,176.27005535352637,10,2
433,75,200,3,1035.40126350894,160,6.471257896930875,7709.801545101938,40,192.74503862754847,10,3
434,75,200,3,1083.1356956997815,160,6.769598098123635,7553.04916816485,40,188.82622920412126,10,4
435,75,200,3,912.0913501154366,160,5.700570938221479,11196.536798815254,40,279.91341997038137,10,5
436,75,200,3,1287.542152652997,160,8.047138454081232,10149.030756899765,40,253.72576892249413,10,6
437,75,200,3,1005.2832032497003,160,6.283020020310627,9507.647919773377,40,237.69119799433443,10,7
438,75,200,3,871.5155752890671,160,5.446972345556669,20688.431546327072,40,517.2107886581769,10,8
439,75,200,3,872.3081744148493,160,5.451926090092808,30387.780174000985,40,759.6945043500247,10,9
440,75,200,5,119.44799581185158,160,0.7465499738240724,8340.05729622659,40,208.50143240566476,10,0
441,75,200,5,155.37994555523608,160,0.9711246597202254,25714.655401398875,40,642.8663850349719,10,1
442,75,200,5,88.06210102649366,160,0.5503881314155854,5507.799711574145,40,137.69499278935362,10,2
443,75,200,5,82.78415026970724,160,0.5174009391856702,14110.784313463178,40,352.76960783657944,10,3
444,75,200,5,153.6361956319815,160,0.9602262226998844,71864.80217032254,40,1796.6200542580634,10,4
445,75,200,5,103.6210135677932,160,0.6476313347987075,16523.406928823966,40,413.08517322059913,10,5
446,75,200,5,127.3633298840134,160,0.7960208117750838,13173.413126388667,40,329.33532815971665,10,6
447,75,200,5,110.50425953614871,160,0.6906516221009295,11872.096493904734,40,296.8024123476183,10,7
448,75,200,5,110.71624990502008,160,0.6919765619063755,17044.962668009193,40,426.12406670022983,10,8
449,75,200,5,114.30621511438038,160,0.7144138444648773,12380.746541786328,40,309.5186635446582,10,9
450,75,200,8,6.333357860773018,160,0.03958348662983136,9036.323126470683,40,225.90807816176707,10,0
451,75,200,8,4.822064849159367,160,0.030137905307246044,29053.070354349416,40,726.3267588587354,10,1
452,75,200,8,5.955617893659201,160,0.037222611835370005,11113.126138913414,40,277.82815347283537,10,2
453,75,200,8,3.4143997796519505,160,0.02133999862282469,48428.71472382848,40,1210.717868095712,10,3
454,75,200,8,5.912268528251807,160,0.036951678301573795,64070.73626935821,40,1601.7684067339553,10,4
455,75,200,8,4.47364437756845,160,0.02796027735980281,52900.450143695496,40,1322.5112535923874,10,5
456,75,200,8,11.481415464214646,160,0.07175884665134154,8929.239940919057,40,223.23099852297642,10,6
457,75,200,8,4.485948024512162,160,0.028037175153201012,18232.019965985553,40,455.8004991496388,10,7
458,75,200,8,6.276093399012283,160,0.03922558374382677,113024.81009297015,40,2825.6202523242537,10,8
459,75,200,8,6.059171927942039,160,0.03786982454963774,63729.751805402,40,1593.2437951350498,10,9
460,75,200,13,2.4335523245984465,160,0.01520970202874029,42494.5416338705,40,1062.3635408467626,10,0
